,,Race,Class,Name,Sub-class,,ATK,DEF,HP,Speed,CR,CD,CritRes,CritDEF,Ddg,Acc,Pen,RecR,LsR,CCRes,PhRes,MRes,Active Skill,Passive skill 1,Passive skill 2,Passive skill 3,Awaken Skill,Engraving,Exclusive equipment,Added stats from Exclusive Equipment 
,11,Apostle of Light,Int,Lumen,Supporter,,385 493,143 885,1 443 278,75,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Light of Purification: Deals ATK 140% damage to an enemy and all enemies in a straight line behind the target, and removes 1 buff from the hit enemies",Empowered Strike: Increase ATK of normal attacks by 30%,"Emergency Shield: At the start of battle, grants a shield equal to 100% of own HP to the ally with the lowest HP for 2 turns","Tenacity: When an ally dies, Lumen permanently reduces the ATK of the enemy that killed them by 15% (Once per battle).","Barrier of Light: At the start of battle, Lumen creates a Barrier of Light across the battlefield in front of her. Allies inside the barrier take 20% less damage, and have a 10% chance to ignore damage when hit by active or normal attacks. The barrier lasts for 7 turns.","Allies inside the Barrier of Light gain 15% ATK and 25% Crit DMG. When an ally inside the Barrier of Light is hit by an active or normal attack, Lumen has a 50% chance to retaliate, dealing 100% ATK damage to the attacker and stunning them for 1 turn.",,
,12,Apostle of Light,Str,Akmon,Tanker,,424 276,155 322,1 690 141,82,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Celestial Lance: Targets the closest enemy and all enemies in a straight path behind, dealing ATK 135% damage and applying Taunt debuff for 1 turn.","Insight: On normal attacks, targets the closet enemy in the furthest row, dealing ATK 130% damage.","Mana-Draining Barrier: Upon taking more than 20% max HP in a single hit, the attacker gets Silence applied for 1 turn. Can trigger up to 4 times per battle. For the first 3 rounds, just before death, survives with 1 HP. Can trigger once per round.","Duel Challenge: At the start of every second round, applies Taunt debuff to 1 random enemy Dealer. If no enemy Dealers, targets closest enemy. Enemies under Taunt have a 50% chance of not gaining Energy when hitting Akmon unless they are Boss-type enemies.","Inquisition: At the start of battle, Energy gain rate of all enemies is reduced by 50% for 2 turns unless they are Boss-type enemies. Does not apply to Energy gained from attacking or being attacked.","Damage taken from enemies under Taunt is reduced by 60%. Upon being hit by an enemy under Taunt, Dodge Rate increases by 10%, up to a maximum of 40%.","Solas: When using an Active Skill, absorb 30% of the Energy from all targeted enemies whose Energy is 100 or higher, and distribute it evenly to the two allies with the highest ATK. This effect does not trigger against boss-type enemies.",Accuracy +15%
,13,Apostle of Light,Agi,Leovalt,Dealer,,461 539,130 010,1 590 852,79,34%,50%,0%,0%,45%,0%,0%,0%,0%,0%,0%,0%,"Black Mask: Targets the closest enemy, dealing ATK 225% damage. If the attack lands a critical hit, re-triggers it.","Cursed Fist: On normal attacks, targets the closest enemy, dealing ATK 123% damage and applying a Darkness Seed debuff for 1 turn. Darkness Seed increases the chance of being critically hit by 20% and prevents resurrection.","Brave Warrior: When below 60% HP, Crit Rate increases by 23%.","Shining in Darkness: Upon landing a critical hit, removes all debuffs from him and gains a shield equal to 15% of max HP for 2 turns.","Guide of Darkness: Enemies defeated by Leovalt cannot be resurrected. When an ally attacks an enemy in the 1st or 2nd row, Leovalt has a 40% chance to perform a joint attack, dealing ATK 110% damage.","Crit Damage against Tankers increases by 50%. All attacks ignore and remove shields. If the removed shield is a damage immunity shield, gains a damage immunity shield for 1 turn.",,
,14,Apostle of Light,Int,Lena,Supporter,,422 454,148 312,1 478 327,81,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Moonlight Flash: Targets all enemies, dealing ATK 105% damage and having a 75% chance to apply Sleep for 1 turn.","Meteor Shower: On normal attacks, targets the closest enemy and 2 additional enemies under Sleep, dealing ATK 120% damage.","Moon's Energy: At the end of each round, removes any CC applied to her. If successful, gains a buff that increases ATK by 30% for 2 turns.","Magic Lena: At the start of battle, Magical Resistance of self and adjacent allies increases by 50%, decreases by 5% each following round.","Dreamland: Upon being hit, enemy attacker has a 70% chance to fall under Sleep for 1 turn. Heals by 20% of max HP every third time she applies Sleep on an enemy.","At the end of each round, enemies under Sleep have their Energy reduced by 50.",,
,15,Apostle of Light,Str,Ulion,Dealer,,509 556,138 764,1 649 882,82,25%,50%,0%,0%,10%,0%,0%,0%,0%,0%,15%,0%,"Holy Shock: Targets the enemy with the highest ATK, dealing ATK 230% damage and applying Shock for 1 turn.","Ray of Light: On normal attacks, targets the closest enemy, dealing ATK 155% damage and healing by 70% of damage dealt.","Aura of Concentration: At the start of battle, gains 100 Energy. At the beginning of every second round, gains 25 Energy.","Synergy: At the start of battle, Accuracy of self and adjacent allies increases by 40%.","Holy Energy: Upon landing a killing blow, heals by 50% of max HP.","When below 50% HP, ATK increases by 25%. On normal attacks, has a 65% chance to apply Shock to the target for 1 turn.","Thunder: Increases the duration of the Active Skill's Shock effect by 1 turns. When attacking enemies in Shock, removes 1 buff(s) and has a 100% chance to ignore effects that prevent damage from exceeding a certain percentage of max HP. (This effect does not apply to additional attacks made in the same turn the Shock was applied.)",
,16,Apostle of Light,Agi,Nuel,Supporter,,424 723,149 419,1 463 569,68,10%,50%,0%,15%,25%,0%,8%,0%,0%,0%,0%,15%,"Barrage of Light: Targets 1 random enemy on 3 different instances, dealing ATK 100% damage and reducing their Energy by 25 each instance. Nuel starts the battle with 100 Energy.","Divine Punishment: On normal attacks, targets the closest enemy, dealing ATK 150% of damage.","PS2: At the start of battle, Energy of all allies, excluding self, increases by 50.","Strong Heart: At the end of every round, has 1 debuff removed.","Flash of Light: If HP falls below 40%, gains a shield equal to 60% of max HP for 1 turn and gets a HoT buff, healing for ATK 80% for 3 turns.","ATK against Intelligence-type enemies increases by 20%. Upon death, all remaining allies gain 30 Energy.",,
,17,Apostle of Light,Int,Solina,Healer,,420 509,150 157,1 483 492,79,10%,50%,0%,0%,35%,0%,0%,0%,0%,0%,0%,0%,"Prayer of Healing: Targets the 2 allies with the lowest HP% (including self), healing them by ATK 155%, applying a shield equal to 20% of their max HP for 2 turns (cannot exceed 150% of Solina's ATK), and removing all debuffs from them.","Ultimate Sacrifice: At the start of battle, Speed of all allies increases by 20.","Pillar of Light: When HP falls below 35%, heals by 30% of max HP. Can trigger once per battle.","Unfailing Faith: If HP of an ally falls below 50%, Solina gains 50 Energy. Can trigger once per ally.","Divine Miracle: On Active Skill, 1 random dead ally is resurrected with 80% HP and 100 Energy. Can trigger once per battle.","Upon death, 1 random dead ally is resurrected with 70% HP and 100 Energy. Can trigger once per battle.",,
,18,Apostle of Light,Str,Taros,Tanker,,395 868,180 409,1 958 917,90,10%,50%,0%,0%,25%,0%,0%,0%,0%,0%,10%,0%,"Thunder Clap: Targets the 2 enemies with the highest ATK, dealing ATK 130% damage and applying a debuff that reduces their ATK by 20% for 2 turns.","Righteous Judgement: When below 50% HP, damage taken reduces by 30%.","Divine Shield: When HP falls below 35%, heals by 30% of max HP. Upon death, 1 random ally in the front row, including self, gets a damage immunity shield for 1 turn. Both effects can trigger once per battle.","Iron Will: At the start of every round, the 2 allies with the lowest HP%, including self, get a buff that reduces damage taken by 15% for 1 turn.","Apocalyptic Tome: Upon death, resurrects at the end of the current round with 80% HP and 120 Energy. Can trigger once per battle.","Healing from Divine Shield increases to 75% of max HP. Upon being hit, ATK and DEF have a 50% chance of increasing by 6%, up to a maximum of 36% each.",,
,19,Undead,Agi,Louveti,Dealer,,454 708,121 581,1 361 374,83,10%,50%,0%,25%,10%,0%,0%,0%,0%,0%,0%,0%,"Annihilation Round: Attacks the nearest enemy in the back row, dealing 195% of ATK as damage and inflicts a Shield Prevention debuff for 1 turns, preventing all shield gains. Additionally deals 120% damage to adjacent enemies.",Precision Shot: Deals 140% of ATK as damage to the nearest enemy in the back row.,"Aim: Crit Defense +25%. When landing a Crit with an Active Skill, gain 20 Energy. (Once per round)","Moonlight Aura: At the start of every 2 rounds, if there are no active buffs on self, gain a buff that increases ATK by 25% for 2 turns.",Sharp Senses: Immediately removes all debuffs from self and increases own Energy by 100 when current HP falls below 60%. (Once per battle),Increases Crit Rate and Accuracy against Agility-type enemies by 20%.,"Silver Bullet: When Louveti attacks, ignores 15% of the target's Dodge Rate for each debuff on the target. (Max 30%) Season Chapter Exclusive: Increases damage dealt by 10% for each debuff on the target when attacking. (Max 30%)",
,20,Undead,Int,Sekhrus,Healer,,424 399,133 431,1 472 055,80,10%,50%,0%,0%,10%,0%,25%,0%,0%,0%,0%,0%,"Pague Onset: Attacks nearest Healer, dealing 150% ATK as dmg and inflicts Poison on target and all adjacent enemy heroes, dealing 60% ATK as damage over 3 turns. (Defaults to primary target if no healer). Sekhrus heals the ally with lowest HP by 100% of all damage dealt by his own Poison","Poisoned Dagger: At the start of each round, inflict a debuff that reduces speed by 20 for 1 turn on a random poisoned enemy hero (Sekhrus starts with full energy).",Crow Mask: Penetration +25%. Sekhrus revives after 1 round with 50% HP and 100% energy upon death (once per battle).,Immunity: Reduces damage taken by 10% per poisoned enemy hero (max 30%),"Death Sentence: When an ally's HP falls below 50% (excluding self), activate the following effect: Instantly remove Sekhrus' Poison debuff from enemy heroes, and deal damage equal to 100% of the total damage of the removed Poison debuff. Heal all allies by 100% of the damage dealt. (Activates 2 times per battle, does not activate if no enemy hero is affected by Sekrus' Poison)","At the start of each round, inflict Poison on a random enemy hero not already Poisoned, dealing 80% ATK as damage over 2 turns (applies after Posioned Dagger skill activation). Additionally, when an enemy hero removes Poison, Sekhrus gains 25 energy (once per round).",,
,21,Undead,Str,Muerte,Tanker,,391 072,140 710,1 767 953,84,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,15%,0%,"Curse of the Wraith: Deal 120% ATK damage to the 2 enemies with the highest HP, and has a 70% chance to Bind them for 1 turn.","Tomb of the Dead: When using Active Skills or Normal Attacks, deal additional damage to the target equal to 7% of Muerte's Max HP and recover 7 of Muerte's HP.","Self-Sacrifice: At the start of every 2 rounds, reduce your own HP by 10% and grant 1 Nullification Shield to the ally (excluding Muerte) with the lowest HP. This effect does not trigger if Muerte's HP is 30% or lower. (A Nullification Shield blocks 1 instance of damage from Normal Attacks or Active Skills, and cannot be stacked)","Fallen Shield: When an allied hero (excluding Muerte) falls to 50% HP or below, grant that ally a buff that increases Lifesteal by 40% and reduces damage taken by 20% for 2 turns. (Once per target).","Harbringer of Death: When an enemy hero dies, revive 1 random fallen ally with 50% HP and 100% energy and grant 1 Nullification Shield. (Once per battle). If an enemy hero survives an attack that would have killed them, inflict Bind for 2 turns of the target. (Once per target)","At the start of battle, gain 1 Nullification Shield. When hit 3 times by Normal Attacks and/or Active Skills, grant yourself 1 Nullification Shield. (Up to 3 times per battle).",,
,22,Undead,Int,Melantha,Supporter,,450 895,131 307,1 358 054,85,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,10%,"Cursed Wings: Targets 1 enemy with the highest ATK, dealing ATK 220% damage and reducing their ATK by 8%.","Caring Umbrella: When Melantha or an ally in her same row takes damage exceeding 35% of their max HP in a single hit, they receive a shield equal to 200% of Melantha's ATK for 1 turn. Can trigger twice per target per battle.","Graceful Composure: On her turn, removes all debuffs from self and allies in her same row.","Sun Ward: Upon receiving a magical hit, the attacker has their Energy reduced by 40.","Wound Absorption: On Active Skill, increases the ATK of allies in her same row, excluding self, by 50% of the reduced ATK. Each instance cannot exceed 50% of Melantha's ATK.","Starting from round 3, on Active Skill, has a 50% chance to target 2 enemies with the highest ATK. This chance increases to 100% from round 6 onwards.",,
,23,Undead,Str,Nox,Tanker,,521 970,144 522,1 593 849,70,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,30%,"Breath of the Dead: Targets the closest enemy and all enemies in a straight path behind, dealing ATK 170% damage and applying a Curse of Recovery debuff for 2 turns. Curse of Recovery reduces healing by 65%, and 70% of that amount is absorbed by the enemy with the lowest HP%. Can stack once.","Abyssal Strike: At the beginning of Nox's turn, has a 70% chance to remove all his debuffs.","Ebony Armor: Upon receiving a magical hit, gains an additional 40 Energy.","Ghost's Residue: Upon death, resurrects 2 rounds later at the start of the round with 70% HP and 100 Energy. Can trigger once per battle.","Roar of Death: Upon resurrection, all enemies receive Taunt debuff for 1 turn, and Nox gets a buff that reduces damage taken by 50% for 1 turn.","For the first 5 rounds, self and adjacent allies behind are immune to Silence, even if Nox dies. Upon death, the Energy of all enemies is reduced by 50. Can trigger twice per battle. Nox now resurrects 1 round later.",,
,24,Undead,Agi,Ripper,Dealer,,445 697,144 146,1 395 316,77,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Surprise Gift: Targets the closest enemy in the furthest row and all adjacent enemies, dealing ATK 110% damage and applying Bomb debuff. After 2 turns, Bomb explodes, dealing ATK 25% damage. If removed early, it deals ATK 117.5% damage instead.","Ripper's Blessing: On normal attacks, targets the closest enemy in the furthest row, dealing ATK 120% damage and applying a buff to the 2 allies with the lowest HP% that increases Dodge Rate by 25% for 2 turns.","Agile Movements: For the first 3 rounds, Dodge Rate increases by 30%. When below 50% HP, Dodge Rate further increases by 32%.","Fatalist: Upon the death of an ally, Dodge Rate of self and all remaining allies increases by 8%, while Dodge Rate of all enemies reduces by 7%.","Ace Card: At the start of battle, self and allies on the same row have their Dodge Rate increased by 16%. Upon attacking enemies with 100 or more Energy, has a 70% chance of reducing their Energy by 25 to 55.","Whenever an ally dodges, Ripper heals by 12% of max HP, and his ATK increases by 5%, up to a maximum of 50%.","Magnum Opus: When an ally dodges an Active Skill or Normal Attack, Ripper has a 100% chance to counterattack for 100% of ATK and remove 1 Bomb debuff from the target. (Once per round) Ripper hides in the shadows for 1 turn after defeating an enemy. (Once per battle)",
,25,Undead,Agi,Fleta,Dealer,,466 491,127 417,1 371 335,91,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Ravage: Targets the enemy with the lowest HP%, dealing ATK 255% damage.","Desperate Destruction: On normal attacks, targets the enemy with the lowest HP%, dealing ATK 135% damage and removing 1 buff. Each time Fleta removes a buff, her Dodge Rate increases by 8%, up to a maximum of 40%.","Mad Slaughter: When below 50% HP, Dodge Rate increases by 50%.","Defense Mechanism: Upon the death of an ally, ATK increases by 13%, up to a maximum of 65%.","Uneasy Heart: Upon landing a killing blow, heals by 35% of max HP and gains a buff that increases ATK by 20% for 2 turns.","Upon landing a killing blow, gains 50 Energy and has a 20% chance of receiving a damage immunity shield for 1 turn.","Crescent of Death: Immediately after the start of each round, if own Energy is 100 or higher, applies Fleta's Mark to the enemy hero with the lowest HP for 1 turn. Enemy heroes affected by Fleta's Mark have their Healing Received reduced by 80% and Dodge Rate reduced by 30%. When Fleta attacks an enemy affected by Fleta's Mark, there is a 100% chance to ignore effects that prevent damage from exceeding a certain proportion of Max HP. (This effect does not apply to additional actions taken by Fleta in the same turn the mark was applied.)",
,26,Undead,Int,Ash,Supporter,,422 130,142 409,1 300 008,81,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Hellfire: Targets all enemies in the closest row, dealing ATK 150% damage and applying a debuff that reduces DEF by 30% for 3 turns.","Soul Burn: At the start of every second round, the 2 allies with the lowest HP% get a buff that increases Lifesteal Rate by 50% for 2 turns.","Bloody Foot: Upon the death of an ally, all enemies have their DEF reduced by 15%, up to a maximum of 60%.","Hell Hook: When below 40% HP, heals by 40% of damage dealt.","Burning Flame: Upon death, all enemies have their Energy reduced by 60 and get a debuff that increases their damage taken by 28% for 2 turns. Can trigger during continuous attacks, once per battle.","When below 60% HP, ATK increases by 22% and Magical Resistance by 30%.",,
,27,Undead,Agi,Dextor,Supporter,,412 403,145 729,1 282 332,59,10%,50%,0%,0%,10%,0%,15%,0%,0%,50%,0%,0%,"Spear of the Void: Targets all enemies in the closest row, dealing ATK 160% damage and granting adjacent allies 25 Energy for each enemy hit. Starts battle with 100 Energy.","Piercing Curse: At the start of battle, djacent allies get a buff that increases their ATK by 24% for 5 turns.",Subtlety: Crit Resistance of self and adjacent allies increases by 40%.,"Burning Vengeance: Upon defeat, the ally with the highest ATK is healed by 27% of their max HP and their ATK increases by 35% of Dextor's ATK. Can trigger once per battle.","Swamp Wanderer: Upon the death of an enemy, adjacent allies are healed by 100% of Dextor's ATK.","Upon the death of an enemy, the Energy of adjacent allies increases by 20. Upon the death of an ally, the Speed of adjacent allies increases by 12.",,
,28,Undead,Int,Carmen,Dealer,,451 935,139 802,1 421 511,70,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Pool of Poison: Inflicts Poision on all enemies, dealing ATK 62% DoT for 3 turns. Enemies inflicted by Carmen's Poison cannot be resurrected. Starts battle with 100 Energy.",Horn Incenser: ATK increases by 30% against enemies inflicted by Poison.,"Banned Substances: At the start of every third round, gains a buff that increases ATK by 25% for 2 turns.","Hidden Power: At the start of each round, heals by 6% of max HP for each enemy inflicted by Poison.","Violent Witch Upon taking a lethal blow, survives with 1 HP, gains a shield equal to 65% of max HP that lasts 2 turns, and gains 100 Energy. Can trigger once per battle.","Upon being hit, inflicts Poison to the enemy attacker, dealing ATK 50% DoT for 2 turns. For every third time Carmen is hit, ATK increases by 7%.","Venomous Censer: When an enemy afflicted with Carmen's Poison dies, spreads Poison to adjacent enemies, dealing 62% ATK as damage over time for 2 turns. If Carmen is placed in the first row, she cannot take more than 30% of her max HP as damage from a single attack until round 3.",
